Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
Protein,Unimodal,ProtTrans,2022-10,"ProtTrans provides a suite of pre-trained protein language models that extract biophysical and structural features from single protein sequences to predict secondary structure, subcellular localization, and membrane solubility without relying on computationally expensive multiple sequence alignments.",https://doi.org/10.1109/TPAMI.2021.3095381,"A suite of Transformer-based language models (including BERT, Albert, Electra, Transformer-XL, XLNet, and T5) pre-trained on massive protein sequence datasets (UniRef50, UniRef100, BFD) containing up to 393 billion amino acids using self-supervised learning (auto-encoding and auto-regressive objectives).",Encoder-Decoder,"ProtTrans explores the limits of up-scaling language models trained on proteins. It compares auto-regressive and auto-encoding pre-training effects on subsequent supervised training, demonstrating that embeddings from these models (especially ProtT5) can match or exceed state-of-the-art methods that traditionally rely on evolutionary information.","Evaluated on per-residue secondary structure prediction (Q3/Q8 accuracy on CASP12, TS115, CB513, and NEW364 datasets), per-protein subcellular localization (10-state accuracy Q10 on DeepLoc), and membrane vs. water-soluble classification (2-state accuracy Q2). Also evaluated for inference speed, hardware scaling efficiency, and t-SNE clustering of biophysical properties.",1207
Protein,Unimodal,ESM-1b,2021-04,"ESM-1b is a deep contextual language model that learns representations from unannotated protein sequences to predict biological properties such as secondary structure, long-range contacts, and mutational effects.",https://doi.org/10.1073/pnas.2016239118,"Deep Transformer (up to 33 layers, ~650M parameters) trained using a masked language modeling (MLM) self-supervised objective on amino acid character sequences from the UniParc and UniRef databases.",Encoder-only,"The model applies self-supervised learning to scale a deep contextual language model across evolutionary diversity (250 million sequences). It demonstrates that biological structure and function, from biochemical properties to remote homology, emerge in the learned representations without prior knowledge or explicit structural supervision.","Language modeling fidelity (Exponentiated Cross Entropy); Remote homology detection (Hit-10, AUC on SCOPe); Secondary structure prediction (8-class accuracy on CB513, CASP13); Long-range contact prediction (Top-L precision on RaptorX, CASP11, CASP12, CASP13); Mutational effect prediction (Spearman correlation on Envision and DeepSequence datasets).",2807
scRNA-seq,Unimodal,UCE,2024-11,650M transformer using ESM2 protein embeddings across 36M cells from 8 species,https://doi.org/10.1101/2023.11.28.568918,Transformer (Universal Cell Embedding),Encoder-only,"Universal Cell Embeddings (UCE) uses Transformer encoder architecture for learning universal cell representations across species and tissues. (Rosen et al., Nature Methods 2024)",Reverse complement equivariance; Long-range genomic benchmarks; Variant effect prediction,128
scRNA-seq,Unimodal,scFoundation,2024-06,100M parameter model covering ~20K genes from 50M+ human single cells,https://doi.org/10.1038/s41592-024-02305-7,Transformer (Foundation Model),Encoder-Decoder,"scFoundation adopts an asymmetric encoder-decoder architecture. The encoder only accepts embeddings of non-zero and non-masked expressed genes; the decoder accepts all genes' embeddings. This asymmetric transformer-like architecture enables efficient learning. Also known as xTrimoGene. (Hao et al., Nature Methods 2024)",Cell embedding quality; Trajectory inference; Perturbation response; Cross-tissue generalization,428
scRNA-seq,Unimodal,scBERT,2022-09,BERT-based model using gene2vec embeddings for cell type annotation tasks,https://doi.org/10.1038/s42256-022-00534-z,Transformer Encoder (BERT-style),Encoder-only,"scBERT is the first single-cell pre-training model constructed based on the BERT architecture. Employs Performer for efficient attention with gene2vec embeddings. Uses bidirectional encoder with masked gene prediction. (Yang et al., Nature Machine Intelligence 2022)",Cell type annotation; Marker gene identification; Batch correction evaluation,509
"ST,scRNA-seq",Multimodal,scGPT-spatial,2025-02,A specialized foundation model continually pretrained on scGPT (scRNA-seq model) to harmonize various spatial technologies and support cell-type deconvolution and missing gene imputation.,https://www.biorxiv.org/content/10.1101/2025.02.05.636714v1,"Transformer (GPT-style, Spatial adaptation)",Decoder-only,scGPT-spatial adapts scGPT's GPT-style decoder architecture for spatial transcriptomics data. Autoregressive Transformer with spatial context. (2024),Cell type annotation; Gene perturbation; Batch integration; Multi-omics integration; 33M cell benchmark,34
"Natural language, H&E",Multimodal,LPFM,2025-09,"LPFM is a unified low-level pathology foundation model that enhances image quality in restoration tasks (super-resolution, deblurring, denoising) via natural language prompt guidance",https://arxiv.org/abs/2509.01071,Two-stage framework using a contrastive pre-trained KL-Autoencoder for stain-invariant features and a conditional Latent Diffusion Model (U-Net) guided by a CLIP text encoder.,Encoder-Decoder,"LPFM utilizes a multi-source dataset of 190 million patches to establish a unified generative framework for image restoration, relying on textual prompts to dynamically switch between low-level tasks","Evaluated on 66 tasks including super-resolution, deblurring, and denoising using metrics like PSNR, SSIM, LPIPS, MAE, and Pearson correlation on datasets like CAMELYON16, PAIP2020, and PANDA",1
ST,Unimodal,AIDO.Tissue,2025-07,"AIDO.Tissue is a spatially informed foundation model that jointly encodes multiple neighboring cells using an asymmetric encoder-decoder architecture to capture cross-cell dependencies at scale, enabling accurate tissue-level tasks such as spatial cell-type classification, niche prediction, and cell density estimation.",10.1101/2025.07.04.663102,Transformer (Tissue FM),Encoder-only,"AIDO.Tissue uses Transformer encoder for tissue-level representation learning across pathology modalities. (ModelScope, 2024)",Multi-task benchmark evaluation,0
ST,Unimodal,SToFM,2025-07,"SToFM is a multi-scale spatial transcriptomics foundation model that learns cell representations by integrating tissue-, neighborhood-, and gene-level information using an SE(2) Transformer, enabling large-scale pretraining on high-resolution ST data and strong performance on tasks such as tissue region segmentation and cell-type annotation.",https://arxiv.org/abs/2507.11588,Transformer (Spatial Foundation Model),Encoder-only,SToFM (Spatial Transcriptomics Foundation Model) uses Transformer encoder for learning spatial gene expression patterns. (2024),Multi-task benchmark evaluation,6
ST,Unimodal,stFomer,2025-08,"stFormer is a transformer-based foundation model specifically designed for spatial transcriptomics, using cross-attention to integrate spatial ligand information and unify heterogeneous ST technologies, enabling improved clustering, batch correction, cell-type and gene-function prediction, and inference of ligand _ ̦ _ ԉ _ receptor signaling via in silico perturbation.",https://doi.org/10.1101/2024.09.27.615337,Transformer (Spatial),Encoder-only,stFomer uses Transformer encoder architecture for spatial transcriptomics analysis with attention over spatial neighborhoods. (2024),Multi-task benchmark evaluation,8
ST,Unimodal,Novae,2025-12,"Novae is a graph-based foundation model used to learn spatially aware cell representations from large-scale spatial transcriptomics data, enabling zero-shot spatial domain inference, batch-effect correction, hierarchical domain construction, and multiple downstream spatial analyses across tissues, gene panels, and technologies.",https://www.nature.com/articles/s41592-025-02899-6,Graph Neural Network + Attention,Hybrid,Novae is a graph-based foundation model using Graph Neural Network combined with attention mechanisms for spatial transcriptomics. Hybrid GNN + Attention architecture. (Nature Methods 2025),Multi-task benchmark evaluation,10
"ST, scRNA-seq",Multimodal,Nicheformer,2025-10,Foundation model for spatial and dissociated transcriptomics on 110M cells,https://doi.org/10.1038/s41592-025-02814-z,Transformer (Niche-aware),Encoder-only,"Nicheformer uses Transformer encoder architecture with niche-aware attention for spatial transcriptomics, modeling cellular neighborhoods. (2024)",Multi-task benchmark evaluation,81
TBP,Unimodal,MerMED-FM,2025-6,"This is a ""Generalist"" medical foundation model trained on 3.3 million images across 7 modalities, including both Pathology patches (H&E) and TBP.",https://arxiv.org/abs/2507.00185,Dual-network teacher-student ViT framework with a dynamic memory module,Encoder-only,"A multimodal, multi-specialty foundation model trained using self-supervised learning (SSL) to unify the interpretation of diverse imaging types through a shared latent space.",Identification of skin lesions and diagnosis of dermatological diseases from clinical and dermoscopic images.,0
TBP,Unimodal,PanDerm,2025-03,"Unified dermatology foundation model pretrained on large-scale total body photography (TBP) tiles for skin phenotype assessment, melanoma screening, risk stratification, and malignant lesion detection across patient-level workflows.",https://arxiv.org/html/2410.15038v2,ViT-Large Image Encoder + Masked Latent Regressor,Encoder-only,"PanDerm learns robust TBP representations via masked latent modeling and CLIP-based semantic alignment, enabling large-scale melanoma screening, nevus counting, photodamage assessment, and patient-level risk prediction using whole-body images.","Melanoma screening, risk stratification, phenotype quantification",37
TBP,Unimodal,Skin-SAM,2023-04,"Think of this as an ""Auto-Highlighter."" It s a tool that can look at a high-resolution photo of your entire body and instantly find and circle every single mole, no matter how small or oddly shaped.",https://arxiv.org/abs/2304.13973,SAM,Hybrid,Skin-SAM adapts SAM encoder-decoder for skin lesion segmentation.,Radiology image classification,74
TBP,Unimodal,LVM-Med,2023-11,"Classification, segmentation, and object detection",https://arxiv.org/abs/2306.11925,ResNet-50 or ViT-B/16 backbones with a second-order graph matching SSL formulation,Encoder-only,A general-purpose medical vision foundation model pre-trained on 1.3 million multi-modal images using graph-based structural constraints.,Skin lesion segmentation and melanoma classification.,84
TBP,Unimodal,SkinGPT-4,2024-7,Interactive system for dermatological diagnoses,https://www.nature.com/articles/s41467-024-50043-3,ViT + LLM,Hybrid,SkinGPT-4 uses ViT + LLM for dermatology diagnosis,150 real dermatology cases,153
Ultrasound,Unimodal,MerMED-FM,2025-06,"This is a ""Generalist"" medical foundation model trained on 3.3 million images across 7 modalities, including both Pathology patches (H&E) and TBP.",https://arxiv.org/abs/2507.00185,Dual-network teacher-student ViT framework with a dynamic memory module,Encoder-only,"A multimodal, multi-specialty foundation model trained using self-supervised learning (SSL) to unify the interpretation of diverse imaging types through a shared latent space.",Identification of breast cancer on ultrasound scans.,0
Ultrasound,Unimodal,UltraFedFM,2025-11,Federated learning ultrasound foundation model across 16 institutions (vision-only),https://doi.org/10.1038/s41746-025-02085-0,ViT (Federated Learning),Encoder-only,ViT encoder with federated learning for ultrasound.,Multi-task benchmark evaluation,6
Ultrasound,Unimodal,USFM,2024-08,Universal ultrasound foundation model pretrained via self-supervised MIM on 2M+ images across 12 organs (vision-only),https://pubmed.ncbi.nlm.nih.gov/38788326/,ViT (Ultrasound FM),Encoder-only,USFM uses ViT encoder architecture as an ultrasound foundation model. Self-supervised learning on diverse ultrasound imaging. (2024),Multi-task benchmark evaluation,77
Ultrasound,Unimodal,LVM-Med,2023-11,"Classification, segmentation, and object detection",https://arxiv.org/abs/2306.11925,ResNet-50 or ViT-B/16 backbones with a second-order graph matching SSL formulation,Encoder-only,A general-purpose medical vision foundation model pre-trained on 1.3 million multi-modal images using graph-based structural constraints.,Breast cancer segmentation and fetal head circumference measurement.,84
Ultrasound,Unimodal,UltraDINO,2025-09,Domain-specific foundation model for fetal ultrasound classification using DINOv2 self-supervision.,https://link-springer-com.proxy.lib.ohio-state.edu/chapter/10.1007/978-3-032-04981-0_26,ViT (DINO SSL),Encoder-only,UltraDINO uses ViT encoder with DINO self-supervised learning adapted for ultrasound imaging. Encoder-only design. (2024),Linear probe evaluation; Fine-tuning benchmark,
"Ultrasound, CFP",Multimodal,EyeFound,2025-05,"A specialized generalist foundation model for ophthalmology, pre-trained on 11 ophthalmic modalities including B-scan Ultrasound and Color Fundus Photography (CFP). It learns robust cross-modal representations, enabling efficient adaptation for various downstream ophthalmic tasks.",https://arxiv.org/abs/2405.11338,ViT (Foundation Model),Encoder-only,EyeFound uses Vision Transformer encoder as a foundation model for comprehensive ophthalmic imaging. Encoder-only ViT design. (2024),11 ophthalmic modalities; Cross-modal evaluation; Disease screening; Prognosis prediction,34
"Ultrasound, CFP",Multimodal,VisionFM,2024-11,"Another powerful ophthalmic generalist foundation model, pre-trained on 3.4 million images across 8 ophthalmic modalities (including CFP and B-scan Ultrasound). It demonstrates strong generalization across disease screening, prognosis, and segmentation, even for modalities not explicitly seen during pre-training.",https://ai.nejm.org/doi/full/10.1056/AIoa2300221,ViT (Foundation Model),Encoder-only,VisionFM uses ViT encoder as a general medical vision foundation model. Encoder-only architecture with self-supervised learning. (2024),8 ophthalmic modalities; Disease screening; Prognosis; Segmentation; Systemic biomarker prediction,45
"Ultrasound, ECG",Multimodal,EchoFM,2025-06,"A specialized foundation model for echocardiography (cardiac ultrasound), which utilizes synchronously recorded ECG signals as a supervisory signal through periodic contrastive learning to capture the dynamic features of heart motion. This explicitly links the two modalities for enhanced cardiac analysis.",https://ieeexplore.ieee.org/document/11040094,ViT (Foundation Model),Dual-Encoder,EchoFM uses Vision Transformer encoder as a foundation model for echocardiography. Self-supervised pretraining on large echo datasets. (2024),ECG-guided cardiac analysis; Periodic contrastive learning; Motion feature capture,10
"Ultrasound, MRI",Multimodal,US-MRI Model,2024-08,Generates MR-like fetal brain images from clinical ultrasound to improve interpretability for non-experts and enable downstream tasks such as automatic US  MRI registration and multimodal fusion when paired data are unavailable.,https://arxiv.org/abs/2008.08698,Dual Encoder (Multimodal),Dual-Encoder,Dual encoder for ultrasound-MRI multimodal learning.,Radiology image classification,43
X-Ray,Unimodal,MerMED-FM,2025-06,"This is a ""Generalist"" medical foundation model trained on 3.3 million images across 7 modalities, including both Pathology patches (H&E) and TBP.",https://arxiv.org/abs/2507.00185,Dual-network teacher-student ViT framework with a dynamic memory module,Encoder-only,"A multimodal, multi-specialty foundation model trained using self-supervised learning (SSL) to unify the interpretation of diverse imaging types through a shared latent space.","Diagnosis of pneumonia, tuberculosis, and pneumothorax on chest X-rays (CXR).",0
X-Ray,Unimodal,XR-0,2025-12,"A multi-anatomy X-ray foundation model for 20 downstream tasks, including classification, retrieval, segmentation, localization, visual grounding, and report generation.",https://arxiv.org/abs/2509.12146,ViT-B vision encoder (DINOv2) linked via MLP to a LLaMA-7B language decoder,Encoder-Decoder,A multi-anatomy foundation model trained on 1.15 million images from head to toe to generalize across diverse clinical tasks in radiology.,"Multi-anatomy radiographic interpretation, including chest pathologies, musculoskeletal abnormalities, bone fractures, and clinical report generation.",0
X-Ray,Unimodal,Ark+,2025-06,A fully open AI foundation model that accrues heterogeneous knowledge for chest X-ray diagnosis.,https://www.nature.com/articles/s41586-025-09079-8,Swin transformer large encoder + projector + multi-task heads,Encoder-only,A fully open AI foundation model for chest radiography that accrues knowledge from heterogeneous expert labels across diverse datasets to improve diagnostic scope and generalizability,"Common thoracic diseases (e.g., atelectasis, cardiomegaly), rare conditions (e.g., pneumoperitoneum), COVID-19 screening, and sex-related bias tolerance.",31
X-Ray,Unimodal,LVM-Med,2023-11,"Classification, segmentation, and object detection",https://arxiv.org/abs/2306.11925,ResNet-50 or ViT-B/16 backbones with a second-order graph matching SSL formulation,Encoder-only,A general-purpose medical vision foundation model pre-trained on 1.3 million multi-modal images using graph-based structural constraints.,"Lung disease detection, chest multi-organ segmentation, and dental panoramic analysis.",84
 Clinical Notes/EHR,Unimodal,Delphi-2M,2025-09,"Delphi-2M is a generative pretrained transformer model that predicts the rates and timings of over 1,000 diseases based on an individual's past health history, enabling the sampling of synthetic future health trajectories.",https://doi.org/10.1038/s41586-025-09529-3,"Modified GPT-2 architecture with continuous age encoding (using sine/cosine basis functions), causal continuous time masks, and a dual-head output for predicting the next disease token (softmax) and the time to the next event (exponential waiting time model).",Decoder-only,Delphi-2M is a generative transformer trained on 0.4 million UK Biobank participants to model the natural history of human disease. It processes sequences of ICD-10 diagnostic codes and lifestyle factors to predict future multi-disease incidences and generate synthetic health trajectories.,"Evaluated on UK Biobank (longitudinal testing) and Danish disease registries (external validation). Metrics include age- and sex-stratified AUROC, cross-entropy loss, and calibration curves. Compared against standard epidemiological baselines, clinical risk scores (QRisk3, Score2, Framingham, Charlson, Elixhauser), and machine learning models (AutoPrognosis, LLama3.1, MILTON). Explainability assessed via SHAP values and UMAP embeddings.",40
"Natural language, X-Ray",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, CT",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, MRI",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, Ultrasound",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, H&E",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, OCT",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, CFP",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, PET/PET-CT/PET-MRI",Multimodal,Lingshu,2025-06,"Lingshu is a medical-specialized Multimodal Large Language Model (MLLM) designed for unified multimodal medical understanding and reasoning, capable of performing tasks such as multimodal question answering, text-based QA, and medical report generation.",https://arxiv.org/abs/2506.07044,"Built upon the Qwen2.5-VL model architecture (7B and 32B parameters), consisting of a vision encoder, an MLP-based projector, and a large language model. It is trained using a four-stage paradigm: Medical Shallow Alignment, Medical Deep Alignment, Medical Instruction Tuning, and Medical-oriented Reinforcement Learning (RLVR via GRPO).",Decoder-only,"A generalist foundation model tailored for the medical domain, trained on a meticulously curated dataset of 3.75M open-source and 1.30M synthetic medical samples. It leverages multi-stage training and reinforcement learning to enhance medical reasoning and multimodal understanding across diverse clinical scenarios.","Evaluated using the MedEvalKit framework across 16 benchmarks spanning multimodal QA (VQA-RAD, SLAKE, PathVQA, PMC-VQA, OmniMedVQA, MMMU-Med, MedXpertQA), text-only QA (MMLU, PubMedQA, MedMCQA, MedQA-USMLE, MedBullets, SuperGPQA), and report generation (MIMIC-CXR, IU-Xray, CheXpert Plus). Metrics include Accuracy, ROUGE-L, CIDEr, RaTEScore, SembScore, and RadCliQ-v1.",87
"Natural language, X-Ray",Multimodal,MedVersa,2024-05,"MedVersa is a generalist foundation model that accepts heterogeneous inputs, including medical images and clinical text, to generate flexible outputs such as classifications, segmentations, and narrative reports across diverse imaging workflows.",https://arxiv.org/abs/2405.07988,"The architecture consists of a multimodal input coordinator with a 2D Swin Transformer encoder and a 3D U-Net encoder, vision-language adapters, and a Llama-2-Chat large language model acting as an optimizable orchestrator. It also includes specialized vision modules (a lightweight detection module, 2D U-Net, and 3D U-Net) for vision-centric tasks, trained using low-rank adaptation (LoRA).",Encoder-Decoder,MedVersa is a generalist medical artificial intelligence (GMAI) system trained on 29 million instances across 91 datasets. It uses an LLM to analyze visual and linguistic inputs and decide whether to generate language outputs directly or route tasks to specialized vision modules for detection and segmentation.,"Evaluated on nine medical imaging tasks including image captioning, longitudinal captioning, region captioning, open-ended VQA, image classification, object detection, and 2D/3D image segmentation. Metrics include BLEU-4, BERTScore, CheXbert, RadGraph, RadCliQ, F1 score, mean IoU, and mean Dice score. Clinical evaluation included blinded radiologist assessments of report clinical equivalence, discrepancy rates, and report-writing time efficiency.",46
"Natural language, CT",Multimodal,MedVersa,2024-06,"MedVersa is a generalist foundation model that accepts heterogeneous inputs, including medical images and clinical text, to generate flexible outputs such as classifications, segmentations, and narrative reports across diverse imaging workflows.",https://arxiv.org/abs/2405.07988,"The architecture consists of a multimodal input coordinator with a 2D Swin Transformer encoder and a 3D U-Net encoder, vision-language adapters, and a Llama-2-Chat large language model acting as an optimizable orchestrator. It also includes specialized vision modules (a lightweight detection module, 2D U-Net, and 3D U-Net) for vision-centric tasks, trained using low-rank adaptation (LoRA).",Encoder-Decoder,MedVersa is a generalist medical artificial intelligence (GMAI) system trained on 29 million instances across 91 datasets. It uses an LLM to analyze visual and linguistic inputs and decide whether to generate language outputs directly or route tasks to specialized vision modules for detection and segmentation.,"Evaluated on nine medical imaging tasks including image captioning, longitudinal captioning, region captioning, open-ended VQA, image classification, object detection, and 2D/3D image segmentation. Metrics include BLEU-4, BERTScore, CheXbert, RadGraph, RadCliQ, F1 score, mean IoU, and mean Dice score. Clinical evaluation included blinded radiologist assessments of report clinical equivalence, discrepancy rates, and report-writing time efficiency.",46
